Date : 2024-11-18 00:46:08
Directory : c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate
Total : 87 files,  25744 codes, 974 comments, 8986 blanks, all 35704 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         28 |     23,406 |        878 |      8,620 |     32,904 |
| XML             |         45 |      1,907 |         48 |        291 |      2,246 |
| Markdown        |          8 |        352 |          0 |         52 |        404 |
| Batch           |          1 |         39 |         29 |         22 |         90 |
| JSON            |          3 |         32 |          0 |          0 |         32 |
| Java Properties |          2 |          8 |         19 |          1 |         28 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |         87 |     25,744 |        974 |      8,986 |     35,704 |
| . (Files)                                                                                                                                                |          2 |         42 |         47 |         22 |        111 |
| .VSCodeCounter                                                                                                                                           |         10 |        354 |          0 |         52 |        406 |
| .VSCodeCounter\2024-11-18_00-39-47                                                                                                                       |          5 |        163 |          0 |         26 |        189 |
| .VSCodeCounter\2024-11-18_00-45-15                                                                                                                       |          5 |        191 |          0 |         26 |        217 |
| .idea                                                                                                                                                    |          8 |         85 |          0 |          0 |         85 |
| app                                                                                                                                                      |         66 |     25,258 |        926 |      8,911 |     35,095 |
| app (Files)                                                                                                                                              |          1 |         30 |          0 |          0 |         30 |
| app\src                                                                                                                                                  |         65 |     25,228 |        926 |      8,911 |     35,065 |
| app\src\androidTest                                                                                                                                      |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java                                                                                                                                 |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com                                                                                                                             |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com\example                                                                                                                     |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com\example\praveen_investate                                                                                                   |          1 |         15 |          6 |          5 |         26 |
| app\src\main                                                                                                                                             |         63 |     25,204 |        915 |      8,903 |     35,022 |
| app\src\main (Files)                                                                                                                                     |          1 |         46 |          0 |          6 |         52 |
| app\src\main\java                                                                                                                                        |         26 |     23,382 |        867 |      8,612 |     32,861 |
| app\src\main\java\com                                                                                                                                    |         26 |     23,382 |        867 |      8,612 |     32,861 |
| app\src\main\java\com\example                                                                                                                            |         26 |     23,382 |        867 |      8,612 |     32,861 |
| app\src\main\java\com\example\praveen_investate                                                                                                          |         26 |     23,382 |        867 |      8,612 |     32,861 |
| app\src\main\java\com\example\praveen_investate (Files)                                                                                                  |          1 |         61 |          3 |         14 |         78 |
| app\src\main\java\com\example\praveen_investate\adapter                                                                                                  |          5 |        666 |         40 |        113 |        819 |
| app\src\main\java\com\example\praveen_investate\database                                                                                                 |          1 |         80 |          4 |         18 |        102 |
| app\src\main\java\com\example\praveen_investate\encryption_decryption                                                                                    |          1 |         67 |         26 |         25 |        118 |
| app\src\main\java\com\example\praveen_investate\model                                                                                                    |          4 |        254 |          5 |         74 |        333 |
| app\src\main\java\com\example\praveen_investate\ui                                                                                                       |         13 |     22,202 |        789 |      8,351 |     31,342 |
| app\src\main\java\com\example\praveen_investate\utils                                                                                                    |          1 |         52 |          0 |         17 |         69 |
| app\src\main\res                                                                                                                                         |         36 |      1,776 |         48 |        285 |      2,109 |
| app\src\main\res\drawable                                                                                                                                |          7 |        251 |          0 |         14 |        265 |
| app\src\main\res\layout                                                                                                                                  |         20 |      1,396 |         18 |        264 |      1,678 |
| app\src\main\res\mipmap-anydpi-v26                                                                                                                       |          2 |         12 |          0 |          0 |         12 |
| app\src\main\res\values                                                                                                                                  |          3 |         99 |          3 |          6 |        108 |
| app\src\main\res\values-night                                                                                                                            |          1 |          4 |          3 |          0 |          7 |
| app\src\main\res\xml                                                                                                                                     |          3 |         14 |         24 |          1 |         39 |
| app\src\test                                                                                                                                             |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java                                                                                                                                        |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com                                                                                                                                    |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example                                                                                                                            |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example\praveen_investate                                                                                                          |          1 |          9 |          5 |          3 |         17 |
| gradle                                                                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| gradle\wrapper                                                                                                                                           |          1 |          5 |          1 |          1 |          7 |
